"service","description"
"Amazon Athena","Serverless, interactive analytics service."
"AWS Data Exchange","Marketplace for third party data sets"
"Amazon Elastic MapReduce (EMR)","Big data analytics on petabyte scale. Integrates with other services to merge and process real-time data streams"
"AWS Glue <span style=""color: rgb(136, 136, 136);""><i>(formerly Data Pipeline)</i></span>","Serverless data integration: integrate data from multiple sources for analytics, ML and development."
"Amazon Kinesis","Managed service to process and analyse real-time video and data streams at any scale"
"Amazon Managed Streaming for Apache Kafka (MSK)","Ingest and process streaming data with a fully managed Apache Kafka cluster."
"Amazon OpenSearch Service","Fully managed, open source solution for real-time search and monitoring of log data and metrics."
"Amazon QuickSight","Generative&nbsp;<i>business intelligence</i>: provides an interactive dashboard for your data as it is needed by different parts of your business. Uses ML to provide natural language data summaries."
"Amazon Redshift","Fully managed, serverless data warehousing, built on top of relational databases."
"Amazon EventBridge","Build loosely coupled, event-driven architectures at scale, using an event bus, pipes, and task schedulers."
"Amazon SNS","Send, store and receive payloads between software components (e.g. Lambdas) at any volume, and send notifications to users."
"Amazon SQS","Queue for messages between software components."
"AWS Step Functions","Drag and drop workflow service - build distributed applications and orchestrate microservices."
"Amazon Connect","AI-powered customer service platform, streamlining interactions between customers and contact centres."
"Amazon Simple Email Service (SES)","Scalable email service for high-volume email automation."
"AWS Billing Conductor","Simplify billing and reporting across an AWS Organisation with customisable pricing and cost visibility"
"AWS Budgets","In the billing dashboard: track spending and usage, set alarms, and forecast use"
"AWS Cost and Usage Reports","In billing dashboard: view detailed reports and visualisations of your historical cost and usage data"
"AWS Cost Explorer","In billing dashboard: create fine-grained reports on your spending by service, tag, etc. and forecast future costs"
"AWS Marketplace","A digital catalogue listing software provided by independent software vendors that you can licence and deploy on AWS, perhaps with only one click."
"AWS Batch","Run hundreds of thousands of batch and ML computing jobs while optimising usage"
"Amazon EC2","On-demand flexible cloud computing platform in the form of ephemeral VMs"
"AWS Elastic Beanstalk","Deploy and scale web applications: automatically provision resources and load balancers in a CloudFormation based on your application's code"
"Amazon Lightsail","Use low-cost, pre-configured development stacks to launch a virtual private server (e.g. Node.js app, WordPress)"
"AWS Local Zones","Run edge workloads on AWS infrastructure, e.g. to bring latency sensitive applications closer to end users and to comply with data residency requirements."
"AWS Outposts","Run AWS infrastructure on-premises (hybrid cloud)."
"AWS Wavelength","Run parts of a VPC directly within 5G networks - so that application traffic never has to leave the network"
"Amazon Elastic Container Registry (ECR)","Managed and scalable docker container registry"
"Amazon Elastic Container Service (ECS)","Fully managed container orchestration service"
"Amazon Elastic Kubernetes Service (EKS)","Fully managed container orchestration using Kubernetes"
"AWS Activate","Provides training, support, AWS credits and special offers to startups who sign up"
"AWS IQ","Marketplace for third-party AWS experts who you can hire to help you."
"AWS Managed Services (AMS)","Helps enterprises to achieve operational excellence at scale in the cloud via additional support and management"
"AWS Support","Tiered support plans for AWS customers. Provides access to TAMs at higher tiers."
"Amazon Aurora","Enterprise-class relational database, compatible with MySQL and PostgreSQL. Cheaper alternative to other commerical databases."
"Amazon DynamoDB","Managed, serverless, NoSQL database with ms response time."
"Amazon MemoryDB","Managed redis-compatible in-memory database with near-instantaneous recovery"
"Amazon Neptune","Serverless&nbsp;<i>graph database</i>. Good for recommendation engines, social networks, fraud detection, etc."
"Amazon Relational Database Service (RDS)","Managed relational database"
"AWS AppConfig","Stores application configuration data - such as feature flags - in the cloud"
"AWS CLI","Manage AWS services on the command line"
"AWS Cloud9","Browser-based IDE that is preconfigured for serverless development and provides direct terminal access to AWS."
"AWS CloudShell","Access the AWS CLI via a browser-based terminal emulator."
"AWS CodeArtifact","Scalable package management that integrates with common build tools. Share packages across accounts to ensure that you are using the same dependencies.&nbsp;"
"AWS CodeBuild","Continuous integration (build and test code)"
"AWS CodeCommit","Private git repo hosting"
"AWS CodeDeploy","Automate code deployments"
"AWS CodePipeline","Ties together CodeCommit, CodeBuild and CodeDeploy into a full CI/CD pipeline"
"AWS CodeStar","<i>(discontinued) </i>Integrate AWS services via templates and a unified UI to manage software projects, build and deploy."
"AWS X-Ray","Analyse and debug applications by visualising the complete path of requests through a microservices architecture."
"Amazon AppStream 2.0","Stream cloud-hosted applications or virtual desktops to users (enabling SaaS application streaming)"
"Amazon WorkSpaces","Virtual desktops for employees running Windows or Linux"
"Amazon WorkSpaces Web","Enable access to company internal websites and SaaS apps via browser."
"AWS Amplify","Point and click building and CI/CD of mobile and full-stack web apps"
"AWS AppSync","Create a managed, serverless GraphQL or pub/sub WebSocket API through a single endpoint."
"AWS Device Farm","Automated testing on real devices."
"AWS IoT Core","Fully managed message broker to allow IoT devices to communicate with AWS services and each other."
"AWS IoT Greengrass","Edge runtime to control IoT devices locally, even when they're not connected to the internet."
"Amazon Comprehend","NLP service to extract topics, sentiment and connections from textual data."
"Amazon Kendra","Intelligent enterprise search service using LLMs."
"Amazon Lex","Build and deploy chatbots for customer service, HR and sales"
"Amazon Polly","Text-to-speech (speech synthesis)"
"Amazon Rekognition","ML-powered image recognition and video analysis"
"Amazon SageMaker","Quickly build, train and deploy ML models at scale with managed infrastructure, tools and workflows."
"Amazon Textract","ML-powered OCR service to extract text, handwriting and data from scanned documents"
"Amazon Transcribe","Automatic speech recognition (speech to text)"
"Amazon Translate","Fast and customisable on-demand language translation"
"AWS Auto Scaling","Generalised version of the auto-scaling functionality of EC2, allowing you to scale different services in tandem."
"AWS CloudFormation","<i>Infrastructure as code</i>: provision instances using a templating language."
"AWS CloudTrail","Comprehensive auditing tool for AWS: track API usage and user activity."
"Amazon CloudWatch","Track and monitor&nbsp;<i>metrics</i>&nbsp;and set alarms triggered upon specified conditions."
"AWS Compute Optimiser","Get recommendations for optimising your compute resources (EC2, EBS, Fargate, Lambda)"
"AWS Config","Keep track of and audit the configurations of and relationships between your cloud resources."
"AWS Control Tower","Orchestrates security services within your AWS environment to govern a well-architected multi-account AWS environment."
"AWS Personal Health Dashboard","Provides alerts and guidance when AWS is experiencing events (e.g. outages) that may affect you."
"AWS Launch Wizard","Guides you through deploying third-party applications on AWS and automatically sets up the resources you need."
"AWS License Manager","Manage third-party software licenses"
"AWS Management Console","Web-based GUI to manage everything in the AWS Cloud"
"AWS Organisations","Centralised management of AWS accounts, with consolidated billing, Organisational Units and Service Control Policies"
"AWS Service Catalogue","Create, organise and control your own curated catalogue of CloudFormation or Terraform configs"
"AWS Systems Manager","A collection of resource management solutions designed for multicloud and hybrid environments. Automates collecting software inventory and configuring OSes."
"AWS Trusted Advisor","Provides a dashboard containing insights into your AWS usage and how you could improve your setup in line with the WAF. Full access requires Business Support or higher."
"AWS Well-Architected Tool","Generates a report based on a questionnaire that indicates how well your workload aligns with WAF"
"AWS Application Discovery Service","Helps plan cloud migration by gathering information about your on-premises data centres."
"AWS Application Migration Service (MGN)","Automate lift &amp; shift migrations of on-premises and other cloud-based applications to EC2, and migrate EC2 workloads between AZs, regions or accounts"
"AWS Database Migration Service (DMS)","Migrate or replicate existing on-premises or cloud databases into RDS or another managed service."
"AWS Migration Hub","Central location to access guidance and tools to plan and execute cloud migration"
"AWS Schema Conversion Tool","Part of DMS: allows you to perform&nbsp;<i>heterogeneous transfers</i>&nbsp;by converting your database schema before performing a DMS migration"
"AWS Snow Family","Perform up to exabyte-scale migrations to the cloud by leasing physical compute and storage devices which run data processing pipelines locally."
"AWS Snowcone","A small, rugged, secure device that offers edge computing, <b>14TB&nbsp;</b>data storage and data transfer, without an internet connection."
"AWS Snowball","Transfer&nbsp;<i>petabyte-scale</i>&nbsp;data to S3 - with both storage- and compute-optimised options"
"AWS Snowmobile","A physical shipping container towed by a semi-truck that allows you to move exabyte-scale data to AWS. You can move <b>100PB</b> of data per vehicle."
"AWS Transfer Family","Use FTP to perform file transfers into and out of S3 or EFS."
"Amazon API Gateway","Fully managed service to create and maintain RESTful and WebSocket APIs, with built-in security, traffic management and caching."
"Amazon CloudFront","CDN that uses AWS <i>Edge Locations</i>&nbsp;to reduce latency"
"AWS Direct Connect","Create a dedicated, physical network connection between your data centre and AWS, bypassing the public internet"
"AWS Global Accelerator","Provides two global static public IPs that act as a fixed entry point to your applications endpoints, to improve the availability, performance and security of your public applications."
"Amazon Route 53","DNS and domain registry that allows you to define complex&nbsp;<i>routing policies</i>."
"Amazon VPC","Private networks within the AWS cloud, connected via&nbsp;<i>gateways</i>"
"AWS VPN","Securely connect on-premises networks and allow a remote workforce to access on-premises and cloud services."
"AWS Artifact","Access AWS security and compliance reports and review, accept and manage agreements with AWS."
"AWS Audit Manager","Automate evidence collection for auditing purposes"
"AWS Certificate Manager (ACM)","Provision, manage and deploy public and private SSL/TLS certificates for use with AWS services and your internal resources"
"AWS CloudHSM","Provision and manage&nbsp;<i>hardware security modules</i>&nbsp;(things like YubiKey)"
"Amazon Cognito","Customer identity management (CIAM) that scales to millions of users"
"Amazon Detective","Automatically collects log data from your AWS resources and uses ML to build a dataset that allows security teams to conduct more efficient investigations"
"AWS Directory Service","Fully managed Microsoft Active Directory service"
"AWS Firewall Manager","Central management of firewall rules within an Organisation"
"Amazon GuardDuty","ML-powered intelligent threat detection service that continuously monitors your AWS infrastructure. It can initiate Lambdas with automated responses."
"AWS IAM","Centrally manage users and permissions determining who can access what services and resources"
"AWS IAM Identity Centre","SSO: connect identities across applications"
"Amazon Inspector","Automatically discovers workloads and scans them for&nbsp;<i>software vulnerabilities</i>&nbsp;and&nbsp;<i>unintended network exposure</i>."
"AWS Key Management Service (KMS)","Create, manage and control cryptographic keys across your applications and AWS services"
"Amazon Macie","Data security service that uses ML to detect and protect sensitive data stored in S3"
"AWS Network Firewall","Deploy firewall security across VPCs"
"AWS Resource Access Manager (RAM)","Control access to resources by AWS account, within Organisational Units, or on an IAM role/user basis"
"AWS Secrets Manager","Manage, retrieve and rotate secrets (database credentials, API keys...)"
"AWS Security Hub","Aggregates and prioritizes findings from other AWS security services and enables automated remediation"
"AWS Shield","Managed DDoS protection, with a free standard and paid advanced tier."
"AWS Web Application Firewall (WAF)","Protects web applications from common web exploits and bots using an ML-driven firewall"
"AWS Fargate","Managed, serverless compute engine that allows you to deploy serverless containers using ECS or EKS"
"AWS Lambda","Serverless, event driven compute service that lets you run code for any type of application or backend service without provisioning or managing servers"
"AWS Backup","Managed, policy-based service that automates backups and data protection"
"AWS Elastic Block Store (EBS)","Scalable, high-performance, persistent block storage for EC2"
"Amazon Elastic File System (EFS)","Fully managed Linux file system for business data that is used across applications."
"AWS Elastic Disaster Recovery (DRS)","Fast, reliable recovery of on-premises and cloud-based applications via continuous data replication"
"Amazon FSx","Launch, run and scale feature-rich, high-performance file systems in the cloud"
"Amazon S3","Cloud object storage"
"Amazon S3 Glacier","A subset of S3 plans that provide long-term, durable storage for archival purposes"
"AWS Storage Gateway","Provides on-premises applications with access to unlimited cloud storage (using e.g. S3, FSx, Backup). Access to cached volumes, stored volumes and tape-based backup."
"Amazon ElastiCache","Adds caching layers on top of databases to improve read times, using either Redis or Memcached."
"Amazon Quantum Ledger Database (QLDB)","Fully managed ledger database that provides a transparent, immutable and cryptographically verifiable transaction log, without the complication of blockchain."
"Amazon Managed Blockchain","Build resilient Web3 applications on both public and private blockchains."
"AWS Quick Starts","Automated reference deployments built by AWS and partners that can deploy popular technologies to AWS in minutes"
"AWS Pricing Calculator","Create an estimate for the cost of a business' use cases on AWS"
"Amazon Augmented AI (A2I)","Provides human review workflows for common machine learning tasks, such as content moderation, using either in-house reviewers or Mechanical Turk."
"Amazon DocumentDB","A document database service compatible with MongoDB"
"AWS DeepRacer","An autonomous 1/18 scale race car that tests reinforcement learning models"
"Service Quotas","Manage your quotas for your use of AWS services. Can be linked to CloudWatch to generate alarms when you approach your usage limit."
"AWS re:Post","Online portal containing FAQs and official support articles"
"EC2 On-Demand","Pay for compute capacity by the hour or second, with no long-term commitments."
"Savings Plans","Commit to an <i>hourly</i> spend commitment for 1 or 3 years, for any instance family or region. Can reduce your bill by up to 72%. Usage beyond commitment is charged at On-Demand rates."
"EC2 Spot Instances","Take advantage of unused EC2 capacity for non-urgent background processing jobs. Instances can be stolen back by Amazon with a 2-minute warning, but this can reduce costs by up to 90%."
"EC2 Reserved Instances - Standard","Reserve capacity for a specific instance family in a region for a 1- or 3-year term. Can reduce your bill by up to 72%."
"EC2 Reserved Instances - Convertible","Reserve capacity in a region with flexible AZs and instance types for a 1- or 3-year term. Can reduce your bill by up to 66%."
"EC2 Dedicated Hosts","The most expensive EC2 option, which gives you physical server capacity, allowing you to use existing server-bound software licences. Can be purchased on-demand or as part of Savings Plans"
"AWS PrivateLink","Provides a private connection between a VPC, supported AWS services, and on-premises networks without exposing traffic to the public internet. Can help to transfer data while maintaining regulatory compliance."
"AWS IAM Access Analyser","Evaluates your IAM policies and provides recommendations based on best practices and CloudTrail logs. Also identifies resources within an AWS Organisation that are shared with external entities, e.g. S3 buckets, IAM roles, KMS keys."
"AWS Transit Gateway","A central hub that connects VPCs and on-premises networks across different AWS Regions, simplifying overall network architecture."
"AWS Infrastructure Event Management (IEM)","Architecture and scaling guidance during the preparation and execution of planned events, e.g. product launches. Part of the Enterprise Support plan."
"Amazon Elastic Transcoder","<i>(outdated)&nbsp;</i>Fully managed cloud-based media transcoding, converting media files so they can be played on user devices."
"AWS Elemental MediaConvert","Process video files to prepare on-demand content for distribution or archiving. (Combine with S3 for storage or CloudFront for distribution.)"
"VPC Flow Logs","Captures information about the IP traffic going to and from a VPC. (Can be published to CloudWatch or S3.)"
"AWS Systems Manager - Session Manager","Manage access to EC2 instances and other resources. Auditable alternative to log into EC2, without having to manage SSH keys."
"AWS Elastic Load Balancer (ELB)","Fully managed service that routes requests to instances, allowing decoupling between frontend and backend. Operates at the Region level."